Temp,Pres,Dens
270.68,2.929,919.42
270.83,2.9405,918.68
270.98,2.952,917.94
271.13,2.9635,917.2
271.28,2.975,916.46
271.43,2.9865,915.72
271.58,2.998,914.98
271.73,3.0095,914.25
271.87,3.021,913.51
272.02,3.0325,912.77
272.17,3.044,912.04
272.31,3.0555,911.31
272.46,3.067,910.57
272.6,3.0785,909.84
272.75,3.09,909.11
272.89,3.1015,908.37
273.04,3.113,907.64
273.18,3.1245,906.91
273.32,3.136,906.18
273.47,3.1475,905.45
273.61,3.159,904.72
273.75,3.1705,904
273.89,3.182,903.27
274.03,3.1935,902.54
274.18,3.205,901.81
274.32,3.2165,901.09
274.46,3.228,900.36
274.6,3.2395,899.63
274.74,3.251,898.91
274.88,3.2625,898.18
275.01,3.274,897.46
275.15,3.2855,896.74
275.29,3.297,896.01
275.43,3.3085,895.29
275.57,3.32,894.57
275.7,3.3315,893.85
275.84,3.343,893.12
275.98,3.3545,892.4
276.11,3.366,891.68
276.25,3.3775,890.96
276.38,3.389,890.24
276.52,3.4005,889.52
276.65,3.412,888.8
276.79,3.4235,888.08
276.92,3.435,887.36
277.06,3.4465,886.64
277.19,3.458,885.93
277.32,3.4695,885.21
277.46,3.481,884.49
277.59,3.4925,883.77
277.72,3.504,883.05
277.85,3.5155,882.34
277.98,3.527,881.62
278.11,3.5385,880.9
278.25,3.55,880.19
278.38,3.5615,879.47
278.51,3.573,878.76
278.64,3.5845,878.04
278.77,3.596,877.32
278.9,3.6075,876.61
279.02,3.619,875.89
279.15,3.6305,875.18
279.28,3.642,874.46
279.41,3.6535,873.75
279.54,3.665,873.03
279.66,3.6765,872.32
279.79,3.688,871.61
279.92,3.6995,870.89
280.05,3.711,870.18
280.17,3.7225,869.46
280.3,3.734,868.75
280.42,3.7455,868.04
280.55,3.757,867.32
280.67,3.7685,866.61
280.8,3.78,865.9
280.92,3.7915,865.18
281.05,3.803,864.47
281.17,3.8145,863.75
281.3,3.826,863.04
281.42,3.8375,862.33
281.54,3.849,861.61
281.67,3.8605,860.9
281.79,3.872,860.19
281.91,3.8835,859.47
282.03,3.895,858.76
282.16,3.9065,858.05
282.28,3.918,857.33
282.4,3.9295,856.62
282.52,3.941,855.91
282.64,3.9525,855.19
282.76,3.964,854.48
282.88,3.9755,853.76
283,3.987,853.05
283.12,3.9985,852.33
283.24,4.01,851.62
283.36,4.0215,850.91
283.48,4.033,850.19
283.6,4.0445,849.48
